% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
12 +5.877767563e+02 +5.877767563e+02 +5.395567563e+02 +5.395567563e+02 -4.1856e+00 +9.2134e-01 +2.6576e+00 +5.3340e-01 +1.1595e+00 +5.8877e-01 -4.1899e+00 -3.7174e+00 -2.0319e+00 +3.6404e+00
17 +3.552784236e+02 +3.552784236e+02 +3.070584236e+02 +3.070584236e+02 -1.8694e-01 -1.5468e+00 -3.1329e+00 +1.3819e+00 -4.8611e+00 +1.1814e+00 -3.1295e+00 -2.8214e+00 -3.0580e+00 +2.1425e+00
36 +2.176348880e+02 +2.176348880e+02 +1.694148880e+02 +1.694148880e+02 -1.2920e+00 -2.5508e+00 -2.8937e+00 +1.9168e+00 +1.1329e+00 +3.4898e+00 -2.6177e+00 +2.3310e+00 -1.2529e+00 +1.8364e+00
478 +1.510428310e+02 +1.510428310e+02 +1.028228310e+02 +1.028228310e+02 -3.8877e+00 -2.8885e+00 -1.5352e+00 +0.0000e+00 -3.8578e+00 +4.2028e+00 -2.6261e+00 +2.5186e+00 -1.4833e-03 +5.0000e+00
916 +8.674092267e+01 +8.674092267e+01 +3.852092267e+01 +3.852092267e+01 -2.6962e+00 +0.0000e+00 -1.9267e+00 +1.0517e+00 -3.8144e+00 +4.0188e+00 -1.7261e+00 +3.4465e+00 -2.8484e+00 +4.4338e+00
2043 +4.684540922e+01 +4.684540922e+01 -1.374590778e+00 -1.374590778e+00 -3.0792e+00 -4.9518e-01 -1.8180e+00 +6.7278e-01 -3.8391e+00 +3.1976e+00 -1.3852e+00 +3.3091e+00 -1.8394e+00 +4.7350e+00
4035 +3.185280122e+01 +3.185280122e+01 -1.636719878e+01 -1.636719878e+01 -3.0541e+00 -4.4194e-01 -1.8744e+00 +6.7597e-01 -3.9060e+00 +3.0377e+00 -1.3422e+00 +3.4576e+00 -1.6796e+00 +4.7983e+00
4693 +2.487040410e+01 +2.487040410e+01 -2.334959590e+01 -2.334959590e+01 -3.0741e+00 -4.3854e-01 -1.8219e+00 +6.7088e-01 -3.8843e+00 +3.0257e+00 -1.2293e+00 +3.3412e+00 -1.6883e+00 +4.8058e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.989740449e+02 +2.989740449e+02 +3.244440449e+02 +3.244440449e+02 -4.2622e+00 -1.0945e+00 +1.9529e-01 -3.3049e+00 -4.9897e+00 +1.1361e+00 +1.4771e+00 -2.4240e+00 -5.9943e-01 -2.0609e+00
72 +2.482614157e+02 +2.482614157e+02 +2.737314157e+02 +2.737314157e+02 -4.9760e+00 +2.8455e+00 +2.5881e+00 -2.7548e+00 -4.3472e+00 -3.7522e-01 +4.5779e+00 +1.0580e+00 +2.0121e+00 -5.4730e-02
149 +1.523546613e+02 +1.523546613e+02 +1.778246613e+02 +1.778246613e+02 -2.8745e+00 -3.2873e+00 -2.4623e+00 -2.9044e+00 -1.1054e+00 +2.8315e+00 -3.7454e+00 +2.5278e+00 +4.1854e+00 -6.3812e-01
718 +8.945052434e+01 +8.945052434e+01 +1.149205243e+02 +1.149205243e+02 -3.0612e+00 -1.8415e+00 -1.7937e+00 -2.8192e+00 -2.4030e+00 +0.0000e+00 -1.0212e-01 +1.2465e+00 +2.8920e+00 -1.6312e+00
2781 +5.463228421e+01 +5.463228421e+01 +8.010228421e+01 +8.010228421e+01 -3.7954e+00 -1.8861e+00 -1.5049e+00 -3.4831e+00 -2.4840e+00 +2.2058e-01 -4.6350e-01 +8.0030e-01 +2.9478e+00 +4.2232e-03
3933 +3.756941956e+01 +3.756941956e+01 +6.303941956e+01 +6.303941956e+01 -3.6640e+00 -1.8385e+00 -5.6816e-01 -3.7048e+00 -2.2625e+00 -3.2982e-02 -9.9798e-01 +2.0683e-02 +3.6288e+00 +5.4950e-02
