% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
26 +4.927961143e+04 +4.927961143e+04 +4.878808143e+04 +4.878808143e+04 +9.1490e-01 -2.0343e-01 +4.7968e+00 +1.4026e+00 +3.9384e+00
82 +1.891289717e+04 +1.891289717e+04 +1.842136717e+04 +1.842136717e+04 -5.2287e-01 -9.8102e-01 -2.5733e+00 -1.3176e+00 -1.7296e+00
298 +1.320109636e+04 +1.320109636e+04 +1.270956636e+04 +1.270956636e+04 -1.2346e+00 -2.2401e+00 -3.9634e+00 -4.0668e+00 -1.3149e+00
324 +6.198520091e+03 +6.198520091e+03 +5.706990091e+03 +5.706990091e+03 +5.4047e-01 +2.9599e-01 -3.6870e+00 +7.3182e-01 -2.7195e-01
663 +1.399998992e+03 +1.399998992e+03 +9.084689917e+02 +9.084689917e+02 +1.2458e+00 +2.8085e+00 +0.0000e+00 +2.0245e+00 +0.0000e+00
1283 +1.547505435e+02 +1.547505435e+02 -3.367794565e+02 -3.367794565e+02 +3.9456e-01 +1.2358e+00 -1.4033e+00 +1.0990e-01 -6.7991e-01
3260 +2.851370014e+01 +2.851370014e+01 -4.630162999e+02 -4.630162999e+02 +3.2034e-01 +4.4423e-01 -2.2113e+00 +1.8935e-01 -5.0133e-01
3642 +1.964970094e+01 +1.964970094e+01 -4.718802991e+02 -4.718802991e+02 +3.8800e-01 +2.7063e-01 -2.2630e+00 +4.3783e-01 -2.4232e-01
4242 +1.584029468e+01 +1.584029468e+01 -4.756897053e+02 -4.756897053e+02 +3.8873e-01 +2.7419e-01 -2.2649e+00 +4.3080e-01 -2.4295e-01
4945 +8.738112917e+00 +8.738112917e+00 -4.827918871e+02 -4.827918871e+02 +3.8980e-01 +2.8554e-01 -2.2659e+00 +4.2856e-01 -2.3849e-01
% function evaluation | noise-free fitness - Fopt (-1.702000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.929050027e+06 +3.929050027e+06 +3.928879827e+06 +3.928879827e+06 +4.2398e+00 -2.3682e-01 -1.6988e+00 -5.3061e-01 +3.1263e+00
12 +8.712385513e+05 +8.712385513e+05 +8.710683513e+05 +8.710683513e+05 +3.3090e+00 +7.3792e-01 -2.1531e+00 +3.7824e+00 -1.6818e+00
16 +1.842815799e+05 +1.842815799e+05 +1.841113799e+05 +1.841113799e+05 +6.7439e-01 -8.0867e-01 +4.0733e-01 +4.8419e+00 +2.8511e+00
70 +1.108076270e+05 +1.108076270e+05 +1.106374270e+05 +1.106374270e+05 -9.3811e-02 -1.8767e+00 +8.7663e-01 +3.2602e+00 +4.8333e+00
115 +2.290404169e+04 +2.290404169e+04 +2.273384169e+04 +2.273384169e+04 -3.2273e+00 -1.9772e+00 -1.9682e+00 +4.7252e+00 +1.1935e+00
153 +4.088330711e+03 +4.088330711e+03 +3.918130711e+03 +3.918130711e+03 -3.5472e+00 -1.0391e+00 -1.2342e+00 +3.3175e+00 +4.0398e+00
900 +1.539007916e+03 +1.539007916e+03 +1.368807916e+03 +1.368807916e+03 -3.4213e+00 +1.9964e-01 -1.4423e+00 +3.2850e+00 +3.6714e+00
2665 +7.226564756e+02 +7.226564756e+02 +5.524564756e+02 +5.524564756e+02 -4.0830e+00 -3.0727e-02 -2.0584e+00 +2.8643e+00 +3.9590e+00
2718 +5.011443406e+02 +5.011443406e+02 +3.309443406e+02 +3.309443406e+02 -3.7142e+00 -1.2970e-01 -1.7507e+00 +3.0420e+00 +3.9068e+00
3113 +2.909556653e+02 +2.909556653e+02 +1.207556653e+02 +1.207556653e+02 -4.0326e+00 -4.7376e-01 -2.0323e+00 +3.0564e+00 +3.7299e+00
3565 +1.337163506e+02 +1.337163506e+02 -3.648364942e+01 -3.648364942e+01 -4.1511e+00 -9.8284e-01 -2.0398e+00 +3.0487e+00 +3.8334e+00
