% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +1.495280548e+05 +1.495280548e+05 +1.490583048e+05 +1.490583048e+05 -7.8786e-01 -2.6207e+00
18 +8.040166019e+04 +8.040166019e+04 +7.993191019e+04 +7.993191019e+04 +2.2892e+00 -2.5094e+00
48 +4.502240923e+04 +4.502240923e+04 +4.455265923e+04 +4.455265923e+04 +4.9105e+00 -2.3695e+00
56 +3.086365627e+03 +3.086365627e+03 +2.616615627e+03 +2.616615627e+03 +1.4445e+00 -2.9120e+00
120 +3.264734166e+02 +3.264734166e+02 -1.432765834e+02 -1.432765834e+02 +7.2781e-01 -2.8928e+00
147 +1.100691174e+02 +1.100691174e+02 -3.596808826e+02 -3.596808826e+02 +2.4250e+00 -2.7674e+00
1181 +3.214014540e+01 +3.214014540e+01 -4.376098546e+02 -4.376098546e+02 -4.6601e+00 -3.3409e+00
1547 +1.884842961e+01 +1.884842961e+01 -4.509015704e+02 -4.509015704e+02 -3.1862e+00 -3.2242e+00
1780 +5.533447248e+00 +5.533447248e+00 -4.642165528e+02 -4.642165528e+02 +6.8680e-01 -2.9129e+00
1867 +2.387065174e+00 +2.387065174e+00 -4.673629348e+02 -4.673629348e+02 +1.5049e+00 -2.8497e+00
3326 +4.564892215e-01 +4.564892215e-01 -4.692935108e+02 -4.692935108e+02 +5.8971e-01 -2.9230e+00
3403 +3.006101869e-01 +3.006101869e-01 -4.694493898e+02 -4.694493898e+02 -5.5141e-01 -3.0129e+00
4602 +8.878899975e-02 +8.878899975e-02 -4.696612110e+02 -4.696612110e+02 -1.7720e-01 -2.9835e+00
% function evaluation | noise-free fitness - Fopt (-1.280000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.182637236e+05 +6.182637236e+05 +6.182509236e+05 +6.182509236e+05 +4.1763e-01 -1.3387e+00
6 +3.282918778e+05 +3.282918778e+05 +3.282790778e+05 +3.282790778e+05 +2.8450e+00 -1.1801e+00
26 +4.648062927e+04 +4.648062927e+04 +4.646782927e+04 +4.646782927e+04 -4.8800e+00 -3.2479e+00
29 +4.527903611e+03 +4.527903611e+03 +4.515103611e+03 +4.515103611e+03 +3.5916e+00 -1.6094e+00
