% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.500598877e+06 +4.500598877e+06 +4.500543937e+06 +4.500543937e+06 -4.6204e+00 +3.0283e+00 +2.9553e-01 -2.5327e+00 +4.1504e+00 +2.4021e-01 +9.1732e-01 +1.6656e+00 -2.0927e+00 -4.3257e+00 +8.5107e-01 +1.9056e+00 -3.3690e+00 +4.1148e+00 +2.9279e+00 +3.0423e+00 +4.3462e+00 +3.2875e+00 -4.3227e+00 -4.7447e+00
13 +3.707872312e+06 +3.707872312e+06 +3.707817372e+06 +3.707817372e+06 -2.0057e+00 -1.2008e+00 -4.5773e+00 +2.3093e+00 -1.1155e-01 +6.4129e-01 +1.3769e-01 +1.4621e+00 -4.2414e+00 -2.2795e+00 +4.1473e-01 +1.8838e+00 -9.8157e-01 +2.3549e-01 -3.3026e+00 +1.9148e+00 +4.7918e+00 -3.6588e+00 +4.8051e-01 -5.8613e-01
15 +1.569875777e+06 +1.569875777e+06 +1.569820837e+06 +1.569820837e+06 -4.8353e+00 -2.3569e+00 -3.7615e+00 -4.1768e-01 -1.3065e+00 -1.9452e+00 -1.2932e+00 -4.6237e+00 +1.1179e-01 +4.5450e+00 +4.3268e+00 +1.3333e+00 +2.8412e+00 -1.6563e+00 +3.6200e+00 -3.6786e+00 +3.7909e+00 +3.2519e+00 +1.5125e+00 +4.2324e+00
375 +5.865410104e+05 +5.865410104e+05 +5.864860704e+05 +5.864860704e+05 +1.1217e+00 -3.2093e+00 -1.6265e+00 +2.0941e+00 +3.0310e+00 +1.3709e-02 +4.2507e+00 -1.1105e+00 -5.0000e+00 +1.4873e+00 +3.0430e-01 +4.6732e+00 +1.8381e+00 -4.6198e-02 +3.6880e+00 +1.5601e+00 +1.7786e+00 +3.6408e-01 +3.6640e+00 +5.0000e+00
552 +2.773065132e+05 +2.773065132e+05 +2.772515732e+05 +2.772515732e+05 -2.2863e+00 -5.0000e+00 +0.0000e+00 +5.0000e+00 +1.5396e+00 +1.5543e+00 +9.8788e-01 -5.0000e+00 -5.0000e+00 +1.4709e+00 +4.0709e+00 +1.6985e+00 +7.4465e-01 -3.2386e+00 +3.1303e+00 -5.3378e-01 -1.6215e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00
799 +2.226881583e+05 +2.226881583e+05 +2.226332183e+05 +2.226332183e+05 -1.1422e+00 -4.4301e+00 -9.2956e-01 +1.3307e+00 +3.6501e+00 -1.1248e+00 +1.9954e+00 -2.6942e+00 -3.1377e+00 +1.8588e+00 +3.3900e+00 +2.0079e+00 +1.5645e+00 -4.4812e+00 +2.5595e+00 +5.1382e-01 -2.1975e-01 -2.5468e+00 +1.0898e+00 +5.0000e+00
2026 +1.367326650e+05 +1.367326650e+05 +1.366777250e+05 +1.366777250e+05 -1.5115e+00 -4.4616e+00 -1.2121e+00 +5.2390e-01 +2.9044e+00 -1.3030e+00 +1.7038e+00 -1.7459e+00 -2.2887e+00 +2.2355e+00 +3.4363e+00 +1.3583e+00 +1.8198e+00 -4.5291e+00 +1.7674e+00 +2.3821e+00 -3.6172e-01 -2.1003e+00 +4.8927e-01 +4.9930e+00
2921 +8.945025258e+04 +8.945025258e+04 +8.939531258e+04 +8.939531258e+04 -1.5040e+00 -4.1446e+00 -8.6780e-01 +1.9052e+00 +1.6433e+00 -2.3087e+00 +3.4177e+00 -1.3980e+00 -2.5567e+00 +2.9806e+00 +3.2914e+00 +2.4349e+00 +8.6234e-01 -5.0000e+00 +1.7090e+00 +1.3181e+00 +2.9712e-01 -4.8598e-01 +7.2702e-01 +4.6041e+00
3115 +5.082695413e+04 +5.082695413e+04 +5.077201413e+04 +5.077201413e+04 -1.4017e+00 -4.2359e+00 -4.3919e-01 +2.2114e+00 +1.0407e+00 -2.2189e+00 +2.6475e+00 -8.4069e-01 -2.6783e+00 +3.0929e+00 +3.0299e+00 +2.5711e+00 +9.7116e-01 -5.0000e+00 +1.4632e+00 +1.1415e+00 +4.2119e-01 -3.4451e-01 +1.7776e+00 +4.5550e+00
3521 +3.285463480e+04 +3.285463480e+04 +3.279969480e+04 +3.279969480e+04 -1.4836e+00 -4.2171e+00 -7.7145e-01 +1.9703e+00 +1.4261e+00 -2.2462e+00 +2.7425e+00 -1.3512e+00 -2.6583e+00 +3.1478e+00 +3.1919e+00 +2.4150e+00 +8.2813e-01 -5.0000e+00 +1.3495e+00 +1.1827e+00 +3.7528e-01 -9.1617e-01 +1.2824e+00 +4.5394e+00
