% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.845679570e+07 +1.845679570e+07 +1.845670781e+07 +1.845670781e+07 -8.8156e-01 -2.4068e+00 -3.0412e+00
2 +3.493731597e+06 +3.493731597e+06 +3.493643707e+06 +3.493643707e+06 +7.7450e-01 +6.9012e-01 -5.3369e-01
3 +9.632773605e+05 +9.632773605e+05 +9.631894705e+05 +9.631894705e+05 -4.2099e+00 +3.3105e+00 +2.6273e-01
18 +8.374438495e+04 +8.374438495e+04 +8.365649495e+04 +8.365649495e+04 +9.4921e-01 -1.2592e+00 +1.4955e+00
36 +8.821450888e+02 +8.821450888e+02 +7.942550888e+02 +7.942550888e+02 -2.4269e+00 +4.1871e+00 +1.2721e+00
247 +1.956824886e+02 +1.956824886e+02 +1.077924886e+02 +1.077924886e+02 -8.2497e-01 +3.5099e+00 +1.2626e+00
1398 +8.666539332e+01 +8.666539332e+01 -1.224606685e+00 -1.224606685e+00 -9.7618e-01 +3.4042e+00 +1.2548e+00
1958 +4.454452735e+01 +4.454452735e+01 -4.334547265e+01 -4.334547265e+01 -1.7898e+00 +3.5025e+00 +1.2458e+00
2440 +3.373778629e+00 +3.373778629e+00 -8.451622137e+01 -8.451622137e+01 -5.5987e-01 +3.6462e+00 +1.2479e+00
3515 +1.560706534e+00 +1.560706534e+00 -8.632929347e+01 -8.632929347e+01 -4.7032e-01 +3.6774e+00 +1.2492e+00
3812 +9.122610034e-01 +9.122610034e-01 -8.697773900e+01 -8.697773900e+01 -3.8558e-01 +3.6309e+00 +1.2502e+00
3901 +5.666106651e-02 +5.666106651e-02 -8.783333893e+01 -8.783333893e+01 +4.6297e-01 +3.6477e+00 +1.2496e+00
4542 +2.784395415e-02 +2.784395415e-02 -8.786215605e+01 -8.786215605e+01 +2.5382e-01 +3.6419e+00 +1.2497e+00
4594 +1.209417258e-02 +1.209417258e-02 -8.787790583e+01 -8.787790583e+01 +2.3232e-01 +3.6481e+00 +1.2497e+00
4679 +1.925654030e-03 +1.925654030e-03 -8.788807435e+01 -8.788807435e+01 +2.0326e-01 +3.6449e+00 +1.2496e+00
4806 +9.362214009e-04 +9.362214009e-04 -8.788906378e+01 -8.788906378e+01 +2.7085e-01 +3.6457e+00 +1.2496e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.390301272e+07 +1.390301272e+07 +1.390333291e+07 +1.390333291e+07 +4.8808e+00 +3.1606e+00 -2.3200e+00
2 +6.750517649e+05 +6.750517649e+05 +6.753719549e+05 +6.753719549e+05 -4.8389e+00 -4.2175e+00 +5.3679e-01
4 +4.594709311e+05 +4.594709311e+05 +4.597911211e+05 +4.597911211e+05 -2.2355e+00 -4.6981e+00 +2.0282e+00
9 +2.832839062e+05 +2.832839062e+05 +2.836040962e+05 +2.836040962e+05 -3.4455e+00 +2.8047e+00 +8.8504e-01
10 +1.636969324e+05 +1.636969324e+05 +1.640171224e+05 +1.640171224e+05 -3.3417e+00 -3.0471e+00 +1.8320e+00
15 +5.717051872e+04 +5.717051872e+04 +5.749070872e+04 +5.749070872e+04 +3.6320e+00 +1.9372e+00 +1.2124e+00
20 +3.106157487e+04 +3.106157487e+04 +3.138176487e+04 +3.138176487e+04 -1.8571e+00 +2.7170e+00 +1.3191e+00
21 +3.734539068e+03 +3.734539068e+03 +4.054729068e+03 +4.054729068e+03 +4.2753e+00 -2.4109e+00 +1.4668e+00
152 +2.813427674e+02 +2.813427674e+02 +6.015327674e+02 +6.015327674e+02 +4.2013e+00 -1.8784e+00 +1.4095e+00
1546 +1.971529803e+02 +1.971529803e+02 +5.173429803e+02 +5.173429803e+02 +1.7745e+00 -1.9947e+00 +1.3946e+00
2276 +3.338234514e+01 +3.338234514e+01 +3.535723451e+02 +3.535723451e+02 +1.6891e+00 -2.2317e+00 +1.4068e+00
2570 +4.078422021e+00 +4.078422021e+00 +3.242684220e+02 +3.242684220e+02 +1.5324e+00 -2.3436e+00 +1.4035e+00
3655 +3.495587213e+00 +3.495587213e+00 +3.236855872e+02 +3.236855872e+02 +1.1749e+00 -2.3315e+00 +1.4038e+00
4227 +2.084909602e+00 +2.084909602e+00 +3.222749096e+02 +3.222749096e+02 +1.0731e+00 -2.3576e+00 +1.4032e+00
4461 +9.863841029e-01 +9.863841029e-01 +3.211763841e+02 +3.211763841e+02 +4.7040e-01 -2.3774e+00 +1.4032e+00
4718 +5.899216227e-01 +5.899216227e-01 +3.207799216e+02 +3.207799216e+02 +3.3385e-01 -2.3696e+00 +1.4031e+00
4829 +3.326313914e-01 +3.326313914e-01 +3.205226314e+02 +3.205226314e+02 +8.9827e-02 -2.3617e+00 +1.4034e+00
