% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1286 +2.357366157e+05 +2.357366157e+05 +2.360568057e+05 +2.360568057e+05 -1.1401e+00 -1.7704e+00 +4.7716e+00 +4.5767e+00 -4.7538e+00 -3.3812e+00 -8.5136e-01 +1.7813e+00 +5.0000e+00 +3.3114e+00 +3.5836e-01 +5.5143e-01 +3.9414e+00 -1.7264e+00 +1.0644e+00 +2.6936e+00 +3.0370e+00 +5.8918e-01 +2.7845e+00 +1.5944e+00
1867 +1.382970137e+05 +1.382970137e+05 +1.386172037e+05 +1.386172037e+05 -1.7877e+00 -2.4699e+00 +4.5129e+00 +3.2583e+00 -4.3499e+00 -4.3062e-02 -1.0029e-01 +1.8144e+00 +3.5435e+00 +3.3509e+00 +5.0824e-01 +7.0772e-01 +2.5049e+00 -1.9981e+00 +1.5908e+00 +1.9961e+00 +3.1954e+00 +5.8498e-01 +2.7893e+00 +1.2509e+00
2616 +9.181864391e+04 +9.181864391e+04 +9.213883391e+04 +9.213883391e+04 -2.4769e+00 -1.4919e+00 +4.2595e+00 +2.9837e+00 -4.3156e+00 +1.5643e-01 +1.3153e+00 +2.0304e+00 +2.7272e+00 +3.0926e+00 -3.5762e-01 +2.8412e-01 +0.0000e+00 -1.7932e+00 +9.7559e-01 +2.1770e+00 +3.4648e+00 +6.4514e-01 +2.8127e+00 +1.2375e+00
3014 +6.024910949e+04 +6.024910949e+04 +6.056929949e+04 +6.056929949e+04 -1.0582e+00 -4.2451e+00 +4.2814e+00 +1.8675e+00 -3.9265e+00 -1.2453e+00 +2.0802e+00 +1.9188e+00 +2.3734e+00 +3.4289e+00 +4.8623e-01 +1.6576e+00 +1.6522e+00 -2.7324e+00 +1.3756e+00 +2.8020e+00 +3.5855e+00 +8.3947e-01 +2.6330e+00 +1.3131e+00
3367 +3.816863001e+04 +3.816863001e+04 +3.848882001e+04 +3.848882001e+04 -3.8323e+00 -2.5519e+00 +4.2195e+00 +2.0674e+00 -4.0350e+00 -6.0905e-01 -1.8824e+00 +1.7267e+00 +1.8098e+00 +3.1302e+00 +1.2693e+00 +2.2731e+00 +7.4356e-01 -2.1887e+00 +8.6148e-01 +2.7162e+00 +3.5884e+00 +6.9774e-01 +2.5650e+00 +1.3577e+00
4249 +2.454208100e+04 +2.454208100e+04 +2.486227100e+04 +2.486227100e+04 -3.6295e+00 -2.8419e+00 +4.0228e+00 +2.1252e+00 -3.9959e+00 -9.2078e-01 +7.1829e-01 +1.7017e+00 +1.7761e+00 +3.1362e+00 +6.1475e-01 +2.2153e+00 +4.5710e-01 -1.7524e+00 +1.3825e+00 +2.5476e+00 +3.6076e+00 +7.1705e-01 +2.6014e+00 +1.3403e+00
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.534392801e+07 +3.534392801e+07 +3.534382377e+07 +3.534382377e+07 +3.2340e+00 +1.3455e+00 +1.4048e+00 +4.5050e+00 -3.1715e+00 +3.8109e+00 -4.6296e+00 +6.7533e-01 -4.4883e+00 -3.4607e+00 +5.3264e-01 +2.1630e-01 -1.9042e+00 +1.7258e+00 -1.9004e+00 +2.8210e+00 +4.5924e+00 +4.1010e+00 -4.9216e+00 -1.2978e+00
2 +3.988895714e+06 +3.988895714e+06 +3.988791474e+06 +3.988791474e+06 +2.1866e+00 +4.9194e+00 +5.7711e-01 +2.8360e+00 -2.8225e+00 +2.7399e+00 +4.7850e+00 +1.0285e+00 -1.6328e+00 +2.3354e+00 +3.4222e+00 +2.5134e+00 +2.7743e+00 +1.7533e+00 -2.5367e+00 +9.1237e-01 +2.8595e+00 -4.4391e+00 +1.5189e+00 -4.3216e+00
33 +3.097169674e+06 +3.097169674e+06 +3.097065434e+06 +3.097065434e+06 +5.3167e-01 +3.4994e+00 -1.8358e+00 +1.5917e+00 +7.9572e-01 +4.7140e+00 -2.6329e+00 -3.8671e+00 -2.9698e+00 +1.4413e-01 +7.0756e-01 -4.4617e+00 +3.3272e+00 -3.1750e+00 +2.6197e+00 -3.1646e+00 +3.2266e+00 +4.2654e-01 +1.2231e+00 -3.3839e+00
113 +1.818386309e+06 +1.818386309e+06 +1.818282069e+06 +1.818282069e+06 +4.3379e+00 +5.7408e-01 -2.6552e+00 +4.5365e+00 -1.9098e+00 +4.6897e+00 -4.7483e+00 +9.4033e-01 -2.5500e+00 -4.5472e+00 -4.0978e+00 -1.6378e+00 +9.0895e-01 -1.5182e+00 +6.8181e-01 +7.8309e-01 +2.8883e+00 -2.8525e+00 +4.6266e-01 -4.4146e+00
402 +1.182820462e+06 +1.182820462e+06 +1.182716222e+06 +1.182716222e+06 +3.0501e+00 -6.5640e-01 -7.7375e-01 +4.0906e+00 +1.8759e-01 +2.9334e+00 +1.9042e+00 -5.0834e-01 -1.8233e+00 -5.0000e+00 -3.2742e+00 +1.1025e+00 -4.2523e-01 -9.6317e-01 +4.0318e+00 -2.1792e+00 +4.4121e+00 -2.0939e+00 +1.8250e+00 -3.8553e+00
626 +2.885533432e+05 +2.885533432e+05 +2.884491032e+05 +2.884491032e+05 +2.7612e+00 +1.3353e+00 -3.1096e+00 +2.9798e+00 +1.1461e+00 +2.7896e+00 +2.6998e+00 -1.2564e+00 -4.4305e-01 -5.0000e+00 +1.3867e+00 +0.0000e+00 -9.3739e-01 -1.9177e+00 +2.3187e+00 -3.5669e+00 +4.5888e+00 -2.8050e+00 +0.0000e+00 -4.0202e+00
1517 +2.460878482e+05 +2.460878482e+05 +2.459836082e+05 +2.459836082e+05 +2.5379e+00 -4.1627e-01 -3.7238e+00 +3.3084e+00 +3.0869e+00 +5.5126e-01 +1.5785e+00 -1.4091e+00 -2.7948e+00 -3.4002e+00 +1.2332e+00 -8.4848e-01 -2.2675e+00 -2.5538e+00 +2.4088e+00 -4.3559e+00 +4.1535e+00 -2.5524e+00 +6.7363e-01 -4.2511e+00
2005 +1.145681778e+05 +1.145681778e+05 +1.144639378e+05 +1.144639378e+05 +4.0143e+00 +4.0070e+00 -2.9444e+00 +3.9367e+00 +0.0000e+00 -1.2992e+00 +3.0183e+00 -3.2962e+00 -1.0709e+00 -5.0000e+00 -1.1672e+00 +6.2106e-01 -2.6151e+00 -2.0602e+00 +2.7769e+00 -3.7000e+00 +3.4481e+00 -2.7011e+00 +2.6200e-01 -3.8692e+00
2148 +9.782592287e+04 +9.782592287e+04 +9.772168287e+04 +9.772168287e+04 +3.4089e+00 -9.6895e-04 -2.2101e+00 +1.8808e+00 +0.0000e+00 -3.4526e+00 +2.2168e+00 -3.0290e-01 -3.4200e-01 -5.0000e+00 -1.0525e+00 -1.3762e+00 -3.3081e+00 -1.5097e+00 +3.4192e+00 -3.9798e+00 +4.1961e+00 -2.7553e+00 +4.4747e-01 -3.7785e+00
2668 +5.755247370e+04 +5.755247370e+04 +5.744823370e+04 +5.744823370e+04 +3.2882e+00 -1.0724e+00 +2.7893e+00 +3.2094e+00 +5.0000e+00 +1.4903e+00 +3.1237e+00 -3.7544e+00 -7.2261e-01 -5.0000e+00 -3.4527e+00 +3.0740e+00 -2.2986e+00 -1.7218e+00 +3.2213e+00 -3.7546e+00 +4.1109e+00 -2.6499e+00 +7.3487e-01 -4.0052e+00
2862 +3.680958072e+04 +3.680958072e+04 +3.670534072e+04 +3.670534072e+04 +3.1459e+00 -8.0822e-01 +2.1732e+00 +2.1969e+00 +5.0000e+00 +1.6113e+00 +3.6794e+00 -1.7702e+00 -9.2344e-01 -5.0000e+00 -8.2360e-01 +2.3713e+00 -3.8014e+00 -9.3201e-01 +3.2850e+00 -3.7639e+00 +4.0109e+00 -2.5881e+00 +4.6457e-01 -3.8665e+00
3262 +2.469363101e+04 +2.469363101e+04 +2.458939101e+04 +2.458939101e+04 +3.4384e+00 +2.1400e-01 +2.5450e-01 +2.2203e+00 +4.3933e+00 +4.0390e-01 +3.8686e+00 -1.6213e+00 +4.7019e-01 -5.0000e+00 -3.8795e-01 +2.1913e+00 -3.0783e+00 -1.4242e+00 +3.0093e+00 -3.7302e+00 +3.9700e+00 -2.4614e+00 +4.4354e-01 -3.9239e+00
3737 +1.533719677e+04 +1.533719677e+04 +1.523295677e+04 +1.523295677e+04 +3.6007e+00 -4.3960e-01 +7.4361e-01 +2.3236e+00 +2.4711e+00 +1.6764e+00 +3.4286e+00 +1.6224e-01 -4.0849e-01 -5.0000e+00 -4.0372e-02 +2.6683e+00 -2.2722e+00 -1.0564e+00 +3.5048e+00 -3.7078e+00 +4.0955e+00 -2.5383e+00 +5.1863e-01 -3.9328e+00
4115 +9.751747076e+03 +9.751747076e+03 +9.647507076e+03 +9.647507076e+03 +3.6551e+00 +2.5049e-01 -4.8405e-01 +2.5139e+00 +2.4730e+00 +7.9871e-01 +3.8331e+00 +1.7743e+00 +1.1139e-01 -5.0000e+00 -2.8142e-01 +2.8921e+00 -2.6768e+00 -1.3147e+00 +3.3580e+00 -3.6708e+00 +4.0199e+00 -2.5467e+00 +5.1308e-01 -3.9146e+00
4806 +6.227749917e+03 +6.227749917e+03 +6.123509917e+03 +6.123509917e+03 +3.2200e+00 +4.6635e-01 -7.1973e-01 +2.3201e+00 +2.7356e+00 +5.0401e-01 +4.0047e+00 +2.2959e+00 +1.6562e+00 -5.0000e+00 -2.0376e-01 +2.5390e+00 -2.5250e+00 -1.3980e+00 +3.4807e+00 -3.6692e+00 +4.0131e+00 -2.5358e+00 +5.1567e-01 -3.9283e+00
% function evaluation | noise-free fitness - Fopt (-3.570000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.823800718e+07 +1.823800718e+07 +1.823797148e+07 +1.823797148e+07 -2.8487e-01 +4.1280e+00 +4.7832e+00 -2.5034e+00 +1.8922e+00 +2.2588e+00 -7.1708e-01 -3.7414e+00 -3.0048e+00 -3.5054e+00 +3.6560e+00 +4.2275e+00 +1.0176e+00 +4.0079e-01 -1.3284e+00 -4.5691e+00 +3.6207e+00 -2.8707e+00 +1.2332e+00 -1.2571e+00
4 +9.228132028e+06 +9.228132028e+06 +9.228096328e+06 +9.228096328e+06 -6.6903e-02 -2.0137e+00 -1.2051e+00 -3.2221e+00 +2.5791e+00 -1.6295e+00 +4.6587e+00 +1.5101e+00 -2.8339e+00 +2.0837e+00 -3.5096e+00 +6.3544e-01 -2.0279e+00 -5.4602e-01 -2.1437e-01 +3.7662e+00 +4.7241e+00 +2.4235e+00 -1.0125e+00 +1.9685e-01
5 +5.480610129e+06 +5.480610129e+06 +5.480574429e+06 +5.480574429e+06 -4.2295e-01 +4.2129e+00 -4.5998e+00 -4.1310e+00 +1.5542e+00 +2.7119e+00 -6.4958e-01 -2.6319e+00 -1.1030e+00 -3.0233e+00 -4.2042e+00 -2.8525e+00 -4.7001e+00 +2.5355e+00 -3.7268e+00 +9.5286e-01 -2.5459e+00 -3.2470e+00 -4.5858e+00 +6.7521e-01
49 +3.538532590e+06 +3.538532590e+06 +3.538496890e+06 +3.538496890e+06 -4.0049e+00 +1.8389e+00 -1.0954e+00 -2.2885e+00 +4.2779e+00 -2.7484e+00 -2.3827e+00 -9.2099e-01 -1.3975e+00 +4.0478e+00 +3.3685e+00 +1.7876e-02 -4.2105e+00 -9.0345e-01 -4.7675e+00 +4.0564e+00 +1.6978e+00 -2.4429e+00 -2.2058e+00 +1.2420e+00
93 +2.399393797e+06 +2.399393797e+06 +2.399358097e+06 +2.399358097e+06 +4.8146e+00 -2.9722e+00 +2.3388e+00 +1.6455e+00 -2.6153e+00 +3.8729e+00 -3.8827e+00 +3.6839e+00 -9.5776e-01 +1.9386e-01 -4.6426e+00 -2.3240e+00 -2.7913e+00 -6.8262e-02 +1.4173e+00 +1.2610e+00 +1.8928e+00 -2.9827e+00 -4.7295e+00 +1.6959e+00
450 +1.393057946e+06 +1.393057946e+06 +1.393022246e+06 +1.393022246e+06 +2.8574e+00 -5.0000e+00 +6.6368e-01 -1.1552e+00 +1.7624e+00 +1.3356e+00 -3.5368e+00 -6.9388e-01 -3.2615e+00 +3.6537e+00 -2.4578e+00 -1.9614e+00 -6.0474e-01 +3.3118e+00 +1.6462e+00 +2.0822e+00 +1.0484e+00 -1.2440e+00 -2.5142e+00 +6.1864e-01
493 +7.844397523e+05 +7.844397523e+05 +7.844040523e+05 +7.844040523e+05 +5.0000e+00 -2.2854e+00 -5.0000e+00 -5.5613e-01 +4.3841e+00 +0.0000e+00 -4.8829e+00 +0.0000e+00 -4.1971e+00 +8.5948e-01 -1.5105e+00 -2.1055e-01 -2.1011e+00 -1.6929e+00 +1.8193e+00 +1.0179e+00 +0.0000e+00 -1.3324e+00 -3.0179e+00 +6.7179e-01
1214 +4.415168485e+05 +4.415168485e+05 +4.414811485e+05 +4.414811485e+05 +5.0000e+00 -4.1457e+00 -4.1927e+00 -1.2711e+00 +4.6064e+00 +3.0420e+00 -5.0000e+00 +1.9449e+00 -4.1913e+00 +1.5106e+00 -4.9226e-01 -9.8625e-01 -1.8853e+00 -1.2320e+00 +6.3214e-01 +9.9228e-01 +9.2293e-01 -1.7922e+00 -3.3132e+00 +9.6922e-01
1435 +3.778226743e+05 +3.778226743e+05 +3.777869743e+05 +3.777869743e+05 +5.0000e+00 -4.4361e+00 -2.8035e+00 -1.3672e+00 +2.0892e+00 +0.0000e+00 -5.0000e+00 +2.5212e+00 -3.5228e+00 -2.8265e+00 +1.1569e+00 -1.1295e+00 -2.8188e+00 -6.9696e-01 +2.5693e+00 +7.5898e-01 +2.1031e+00 -1.7930e+00 -3.2631e+00 +7.0750e-01
2393 +1.899471440e+05 +1.899471440e+05 +1.899114440e+05 +1.899114440e+05 +4.8506e+00 -4.5854e+00 -1.8416e+00 -1.6746e+00 +2.6726e+00 +4.5444e+00 -2.8646e+00 +3.4568e+00 -3.4836e+00 -1.2523e-02 -4.7612e+00 -1.4091e+00 -1.6724e+00 -2.1850e+00 +2.4092e+00 +2.6209e-01 +2.0528e+00 -1.4474e+00 -3.1201e+00 +9.7548e-01
2631 +1.527674373e+05 +1.527674373e+05 +1.527317373e+05 +1.527317373e+05 +4.9736e+00 +2.6641e-01 -8.8315e-01 -9.1166e-01 +3.4859e+00 +3.4952e+00 -4.4431e+00 +2.8874e+00 -3.6861e+00 -3.8603e+00 -2.6188e+00 -1.8246e+00 +8.2556e-01 -4.5348e+00 +2.7197e+00 -8.6698e-02 +1.7643e+00 -1.7222e+00 -3.2784e+00 +7.2634e-01
2855 +6.934593554e+04 +6.934593554e+04 +6.931023554e+04 +6.931023554e+04 +5.0000e+00 -1.1925e+00 -3.3418e+00 -6.7856e-01 +3.0724e+00 +2.1995e+00 -3.0334e+00 +2.3931e+00 -2.8928e+00 +6.9755e-01 -4.6732e+00 -1.5408e+00 -5.0655e-01 -3.5539e+00 +2.9729e+00 +7.2371e-01 +1.8045e+00 -1.8046e+00 -3.5462e+00 +9.0925e-01
3127 +6.206808663e+04 +6.206808663e+04 +6.203238663e+04 +6.203238663e+04 +4.9799e+00 -2.4027e+00 -2.2706e+00 -9.6148e-01 +2.8214e+00 +2.0872e+00 -3.1088e+00 +3.7275e+00 -2.5606e+00 +9.6093e-01 -4.3926e+00 -1.9453e+00 -3.1756e-01 -3.1744e+00 +3.1145e+00 +1.0055e+00 +1.7744e+00 -1.7006e+00 -3.5508e+00 +9.5696e-01
3514 +3.336236829e+04 +3.336236829e+04 +3.332666829e+04 +3.332666829e+04 +4.9871e+00 -2.3005e+00 -1.3887e+00 -9.7170e-01 +1.7870e+00 +1.8791e+00 -3.7098e+00 +4.0434e+00 -2.3224e+00 +1.9866e+00 -4.0257e+00 -2.2887e+00 +4.7934e-01 -3.9780e+00 +2.6700e+00 +7.5126e-01 +1.8903e+00 -1.6419e+00 -3.4562e+00 +8.6017e-01
3664 +2.457152168e+04 +2.457152168e+04 +2.453582168e+04 +2.453582168e+04 +4.9879e+00 -2.2609e+00 -1.3376e+00 -1.0086e+00 +1.5268e+00 +1.5257e+00 -3.6777e+00 +4.9375e+00 -2.2010e+00 +2.1800e+00 -4.7637e+00 -2.3249e+00 +1.0667e+00 -3.9061e+00 +2.5515e+00 +6.2518e-01 +1.9706e+00 -1.5813e+00 -3.4004e+00 +9.3211e-01
4157 +1.578984269e+04 +1.578984269e+04 +1.575414269e+04 +1.575414269e+04 +4.9776e+00 -1.9244e+00 -2.0005e+00 -1.3357e+00 +1.5344e+00 +1.9918e+00 -3.5876e+00 +7.0033e-01 -1.5873e+00 +1.3851e+00 -3.4031e+00 -2.4508e+00 +1.2537e+00 -3.8835e+00 +2.7491e+00 +7.6937e-01 +1.8192e+00 -1.5870e+00 -3.4225e+00 +9.9221e-01
4481 +9.781425761e+03 +9.781425761e+03 +9.745725761e+03 +9.745725761e+03 +4.9795e+00 -1.6855e+00 -1.8464e+00 -1.4001e+00 +2.0136e+00 +2.0263e+00 -3.5008e+00 -1.7568e-01 -2.3914e+00 +1.0058e+00 -3.1324e+00 -2.4170e+00 +1.6402e+00 -3.6893e+00 +2.8154e+00 +6.8008e-01 +1.8449e+00 -1.5692e+00 -3.4056e+00 +9.4191e-01
% function evaluation | noise-free fitness - Fopt (2.070000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.520590842e+07 +3.520590842e+07 +3.520592912e+07 +3.520592912e+07 +3.6274e+00 +2.9848e+00 -3.6706e+00 +3.7008e+00 +3.1198e+00 +4.3909e-01 +2.4801e+00 -4.6400e+00 -4.1650e+00 -3.6667e+00 -1.1834e+00 +3.1020e+00 +2.7101e+00 -2.9554e+00 -2.5169e+00 -3.7377e+00 -3.6712e+00 +2.0099e+00 -4.9101e-01 -2.8968e+00
3 +2.188575050e+07 +2.188575050e+07 +2.188577120e+07 +2.188577120e+07 +1.6639e+00 +4.6332e+00 +3.6227e+00 -1.6017e+00 +1.5414e+00 -2.0941e+00 -1.4228e+00 +3.2553e-01 -1.5813e+00 -1.4993e+00 +2.9209e+00 +3.4277e+00 +1.6890e+00 +3.5950e+00 +4.8055e+00 -3.9185e+00 -3.3908e+00 +4.2600e+00 -4.6324e+00 +3.9321e+00
7 +1.346232330e+07 +1.346232330e+07 +1.346234400e+07 +1.346234400e+07 -4.6166e+00 +2.7661e+00 -4.5648e+00 +1.9549e+00 +2.5865e+00 +4.8522e+00 +1.8582e+00 -2.2861e+00 -2.2253e+00 -2.7242e+00 -8.9693e-01 -7.2213e-01 -1.2589e+00 +3.5290e-01 -3.7010e+00 -7.8399e-01 +4.3810e+00 -2.6083e+00 +4.4276e+00 +4.5833e+00
8 +7.604493972e+06 +7.604493972e+06 +7.604514672e+06 +7.604514672e+06 -1.6522e+00 +2.7213e+00 -3.2376e+00 +3.4145e+00 +1.5052e+00 +4.7690e+00 +4.1053e+00 -1.1854e+00 +1.5242e-01 +3.1787e+00 +4.2710e+00 +3.9660e+00 +3.4893e+00 +3.6306e+00 +7.3660e-01 +1.8689e+00 +1.9511e+00 +1.3330e+00 +4.4242e+00 +3.3301e+00
18 +3.596006602e+06 +3.596006602e+06 +3.596027302e+06 +3.596027302e+06 +4.9346e-01 +9.5084e-01 -1.7386e+00 +4.4503e+00 -4.5066e+00 -1.6015e+00 +1.5903e-01 -4.3758e+00 -9.4192e-01 -4.9723e+00 -2.3166e+00 -3.6786e+00 -1.8126e+00 -4.3958e+00 -2.3425e+00 +4.4993e+00 +1.3388e+00 +7.4992e-01 +2.4602e+00 +2.0828e+00
78 +2.070084429e+06 +2.070084429e+06 +2.070105129e+06 +2.070105129e+06 -3.2502e+00 +2.4969e+00 +4.6071e+00 +5.5030e-01 +4.8830e+00 -8.4201e-01 +2.6501e+00 +9.8696e-01 +3.2486e-01 -1.4432e+00 -2.5397e+00 +3.4407e+00 +1.1149e+00 +3.4502e+00 -2.5358e+00 -1.2717e+00 +2.3895e+00 +2.4088e+00 -1.1412e-01 +3.6474e+00
422 +1.310675981e+06 +1.310675981e+06 +1.310696681e+06 +1.310696681e+06 -2.0132e-01 +4.0060e-02 +5.0000e+00 -5.0000e+00 -1.5356e+00 -7.1114e-02 +3.4614e+00 +3.8300e-01 -3.5393e+00 +1.1531e+00 -5.0000e+00 +4.3817e+00 +0.0000e+00 +2.4621e+00 +0.0000e+00 -2.3141e+00 +2.0567e+00 +2.3218e+00 +2.2078e-01 +2.2368e+00
613 +6.939167659e+05 +6.939167659e+05 +6.939374659e+05 +6.939374659e+05 +5.3799e-01 -2.2956e+00 +3.9109e+00 -3.9565e+00 -1.4462e+00 -4.3609e+00 -3.0376e+00 +1.0520e-01 +1.2637e+00 +4.8536e+00 -3.3619e+00 +1.0094e+00 +2.8035e+00 -3.5789e+00 -1.1361e+00 -2.0700e+00 +1.2622e+00 +1.0876e+00 +6.6223e-01 +3.4014e+00
762 +5.741203841e+05 +5.741203841e+05 +5.741410841e+05 +5.741410841e+05 -1.7204e-01 -7.9500e-01 +3.3317e+00 -1.5053e+00 +5.0000e+00 -1.2021e+00 -2.5016e+00 -1.9266e+00 -1.8237e+00 +2.0161e+00 -1.3542e+00 +7.2046e-01 +1.7718e+00 -1.4554e+00 +7.2093e-01 -1.7736e+00 +1.8011e+00 +1.4146e+00 +6.2892e-01 +2.1139e+00
1007 +3.638278426e+05 +3.638278426e+05 +3.638485426e+05 +3.638485426e+05 +4.9278e-01 +5.3978e-01 +1.0472e+00 -1.2611e+00 +4.0187e+00 -1.2661e+00 -3.7505e+00 -3.8050e+00 -3.7776e+00 -7.8851e-01 -2.3340e+00 -2.0405e+00 +6.4059e-01 -2.3512e+00 -1.8940e+00 -1.3237e+00 +1.1841e+00 +1.8439e+00 +9.4135e-01 +2.9879e+00
1186 +2.385478150e+05 +2.385478150e+05 +2.385685150e+05 +2.385685150e+05 -1.7272e+00 +8.6321e-01 +1.6225e+00 +2.0143e-01 -1.9357e+00 -7.6686e-01 -5.0000e+00 -3.5862e+00 -1.1786e+00 -3.0959e+00 -4.3210e+00 -8.0559e-01 +4.3010e+00 -3.3993e+00 -6.8849e-01 -8.0985e-01 +2.7638e+00 +1.5592e+00 +1.2869e+00 +2.6948e+00
1450 +1.319688580e+05 +1.319688580e+05 +1.319895580e+05 +1.319895580e+05 -4.2237e+00 -1.5914e+00 +1.7933e+00 +6.0296e-01 -6.6650e-01 -2.7123e+00 -5.0000e+00 -4.8703e+00 +6.0392e-01 -4.8656e+00 -5.0000e+00 +3.4540e-01 +1.2504e+00 -2.6112e+00 -1.0235e+00 -1.2414e+00 +3.0087e+00 +1.2698e+00 +7.4906e-01 +2.8534e+00
2419 +9.864914533e+04 +9.864914533e+04 +9.866984533e+04 +9.866984533e+04 -5.0000e+00 -7.9827e-01 +1.4390e+00 +1.1500e+00 -8.1025e-01 -3.2708e+00 -4.9784e+00 -4.8654e+00 +1.5736e+00 -3.4263e+00 -4.8634e+00 -1.1369e-01 +4.1690e-01 -3.1391e+00 -4.3806e-01 -1.0825e+00 +2.6225e+00 +1.3689e+00 +8.9690e-01 +2.5999e+00
2521 +6.122645949e+04 +6.122645949e+04 +6.124715949e+04 +6.124715949e+04 -4.1159e+00 -1.4673e+00 +2.1190e+00 +1.0069e+00 -1.5627e+00 -1.0468e+00 -4.1198e+00 -3.0754e+00 -2.4657e+00 -4.5373e+00 -4.7051e+00 -2.7762e-02 +5.7152e-01 -3.4364e+00 -7.2645e-01 -6.4128e-01 +2.3130e+00 +1.3416e+00 +9.3564e-01 +2.7979e+00
3460 +3.807130644e+04 +3.807130644e+04 +3.809200644e+04 +3.809200644e+04 -3.8608e+00 -1.6609e+00 +1.6894e+00 +4.1558e-01 -1.1320e+00 -9.4119e-01 -4.6159e+00 -4.9776e+00 +1.6660e+00 -4.7245e+00 -4.4857e+00 +3.0418e-01 +1.3684e+00 -3.2255e+00 -2.4313e-01 -1.0369e+00 +2.2396e+00 +1.4152e+00 +8.3757e-01 +2.7906e+00
3876 +2.431176604e+04 +2.431176604e+04 +2.433246604e+04 +2.433246604e+04 -1.8932e+00 -1.7242e+00 +1.5443e+00 +2.5181e-01 -1.7242e+00 -5.9694e-01 -4.5782e+00 -2.6180e+00 +2.0551e+00 -3.3976e+00 -4.2271e+00 +2.5991e-01 +1.2088e+00 -3.1882e+00 -1.4084e-01 -8.7203e-01 +2.3312e+00 +1.3238e+00 +8.1839e-01 +2.8181e+00
4403 +1.448906262e+04 +1.448906262e+04 +1.450976262e+04 +1.450976262e+04 -1.2032e+00 -1.8534e+00 +1.5800e+00 +2.6266e-01 -1.7902e+00 -2.1934e+00 -4.5997e+00 +2.7599e-01 +2.2280e+00 -3.2094e+00 -3.4100e+00 -8.5093e-02 +1.0922e+00 -3.1649e+00 -4.5508e-02 -9.4809e-01 +2.3732e+00 +1.4335e+00 +8.1503e-01 +2.8090e+00
4612 +9.237701108e+03 +9.237701108e+03 +9.258401108e+03 +9.258401108e+03 -1.6551e+00 -1.8851e+00 +1.7367e+00 +1.3114e-01 -1.8548e+00 -1.4221e+00 -4.6171e+00 +6.5392e-01 +1.9454e+00 -3.1275e+00 -2.3683e+00 -1.5944e-01 +1.2367e+00 -3.1419e+00 -1.5528e-01 -1.0625e+00 +2.3243e+00 +1.3846e+00 +8.1133e-01 +2.8041e+00
% function evaluation | noise-free fitness - Fopt (3.807000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.759106975e+07 +3.759106975e+07 +3.759110782e+07 +3.759110782e+07 +1.6017e+00 +2.8372e+00 -1.2242e+00 -2.1283e+00 -7.8108e-01 -3.1562e+00 +4.0357e+00 -3.6448e+00 -1.6621e+00 +3.7162e+00 -2.7472e-01 +3.8603e+00 +4.2698e+00 -1.6776e+00 -4.2136e+00 -7.9684e-01 +1.4527e-01 -1.1288e-01 +2.0612e+00 -3.3247e+00
2 +3.627965351e+06 +3.627965351e+06 +3.628003421e+06 +3.628003421e+06 -3.0977e+00 +1.9633e+00 +3.9035e+00 +2.5951e+00 +3.8253e+00 -3.4649e+00 +4.5543e+00 +1.3247e+00 -2.1320e+00 +3.1919e+00 +3.1524e+00 -1.4514e+00 -4.2160e+00 +3.8043e-01 -3.7922e+00 -3.7114e+00 -2.1010e+00 -1.9498e+00 -2.3583e+00 +2.6443e+00
9 +2.468983698e+06 +2.468983698e+06 +2.469021768e+06 +2.469021768e+06 +2.7236e-01 +4.1271e+00 -3.6528e+00 -1.8104e+00 +2.6809e+00 +1.5274e+00 +3.5197e+00 -2.8962e+00 -3.2140e+00 -1.3879e+00 -1.9215e+00 +1.7376e+00 +3.1734e-01 -2.0842e+00 +2.8152e+00 +8.4817e-01 +2.1146e+00 -3.8774e+00 -1.5149e+00 +1.5149e+00
76 +1.579356768e+06 +1.579356768e+06 +1.579394838e+06 +1.579394838e+06 +1.8676e+00 +4.8009e+00 -2.2318e+00 +4.5259e+00 +4.3319e+00 +1.2060e+00 -1.3407e+00 -3.9578e+00 -3.9214e-01 -4.7734e+00 +4.7153e+00 +2.5488e+00 +2.4639e+00 +2.7214e+00 -4.1283e+00 -4.1687e-01 -1.2926e+00 -3.3245e+00 -1.9320e+00 +1.7014e+00
942 +6.290209802e+05 +6.290209802e+05 +6.290590502e+05 +6.290590502e+05 +3.3981e+00 +1.0166e+00 +4.6533e+00 -7.0323e-01 -5.0000e+00 -2.8135e+00 -2.3818e+00 -4.7905e+00 -4.6786e+00 +2.9137e+00 +4.0888e+00 +1.7902e+00 -1.4556e+00 +4.2332e+00 -1.7910e+00 +3.2262e+00 -1.0834e-01 -2.9307e+00 -1.4005e+00 +2.1621e+00
