% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3404 +2.116701945e+04 +2.116701945e+04 +2.095713945e+04 +2.095713945e+04 +1.5384e+00 +2.2360e+00 +3.3089e+00 -4.1385e+00 -3.8157e+00 +4.4627e+00 -2.7352e-01 +3.8421e+00 +4.0119e-01 +2.7743e+00 +4.3462e-01 +1.1235e+00 +4.0354e+00 -1.0948e+00 -2.0372e+00 -3.3863e+00 -3.0789e+00 +3.0870e+00 -2.3693e+00 +1.9248e+00
3502 +1.007436541e+04 +1.007436541e+04 +9.864485414e+03 +9.864485414e+03 +1.3071e+00 -1.7596e-01 +3.6882e+00 -2.4200e+00 -3.7117e+00 +4.6005e+00 +4.0184e-01 +2.9779e+00 -1.1968e-01 +2.5780e+00 +3.5488e-01 +2.3290e+00 +4.0082e+00 -1.2387e+00 -1.2849e+00 -3.7062e+00 -2.9619e+00 +3.0669e+00 -2.4324e+00 +1.9381e+00
3682 +9.922634139e+03 +9.922634139e+03 +9.712754139e+03 +9.712754139e+03 +1.1392e+00 -3.9789e-01 +3.9976e+00 -5.1418e-01 -3.6783e+00 +4.5262e+00 -1.1975e+00 +2.9986e+00 -3.2306e-01 +3.0250e+00 +6.6129e-01 +2.1977e+00 +3.9828e+00 -1.4554e+00 -1.3364e+00 -3.6841e+00 -3.0167e+00 +3.1196e+00 -2.4533e+00 +1.9012e+00
4113 +5.832075092e+03 +5.832075092e+03 +5.622195092e+03 +5.622195092e+03 +1.0210e+00 -4.5417e-01 +3.9226e+00 -5.6263e-01 -3.7718e+00 +4.5679e+00 -4.6700e-01 +2.9650e+00 -4.3939e-01 +2.2277e+00 +2.2134e-01 +1.3386e+00 +3.8755e+00 -1.4203e+00 -1.4771e+00 -3.8358e+00 -3.0722e+00 +3.1407e+00 -2.4112e+00 +1.9262e+00
4472 +3.837643008e+03 +3.837643008e+03 +3.627763008e+03 +3.627763008e+03 +9.9087e-01 -5.5472e-01 +3.8317e+00 -1.5557e+00 -3.7882e+00 +4.5822e+00 +1.1119e-01 +2.9794e+00 -6.7650e-01 +2.1114e+00 +4.9973e-01 +1.5935e+00 +3.8530e+00 -1.4940e+00 -1.5071e+00 -3.7948e+00 -3.0834e+00 +3.0932e+00 -2.4029e+00 +1.9255e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.340747362e+07 +2.340747362e+07 +2.340738153e+07 +2.340738153e+07 -3.0486e+00 +2.3713e+00 -4.6833e+00 -2.8364e+00 +3.7796e-01 +4.1252e+00 -4.0284e+00 -1.8336e+00 -1.3253e+00 -3.8594e+00 +2.2092e+00 -4.8040e+00 +3.0780e+00 -4.6460e-01 +1.0730e+00 -3.6532e-01 +2.5336e+00 +1.2321e+00 +2.1061e-01 +2.5673e+00
4 +7.011184648e+06 +7.011184648e+06 +7.011092558e+06 +7.011092558e+06 -1.7817e+00 +1.6832e+00 +4.1460e+00 +9.0899e-02 +3.9832e+00 +4.8316e+00 +2.4284e+00 +4.9814e+00 +2.6286e+00 -2.1294e+00 -1.7354e+00 +4.3736e+00 +3.0492e+00 +1.8122e+00 +2.1932e+00 -4.6171e+00 +2.0585e-02 +2.0659e+00 +1.2257e+00 -2.8426e+00
18 +5.887309220e+06 +5.887309220e+06 +5.887217130e+06 +5.887217130e+06 +1.6722e-01 +8.2040e-01 +4.9518e+00 -4.6188e+00 +2.5683e+00 +4.9732e+00 -2.0785e+00 +3.6451e+00 +2.9214e+00 -1.7545e+00 -5.4324e-01 -2.7501e+00 -2.4141e+00 -2.6535e+00 +4.5390e-01 +1.6649e+00 -9.1409e-01 +2.4480e-01 +3.7265e+00 -1.6729e+00
51 +3.321473704e+06 +3.321473704e+06 +3.321381614e+06 +3.321381614e+06 -3.9566e+00 -4.9012e+00 +4.2247e+00 -3.1638e+00 -2.5987e+00 +1.7934e+00 +7.7350e-02 +1.4489e+00 -2.9483e-01 +4.6700e+00 +1.5465e+00 +4.5514e+00 +1.0301e+00 -2.2991e+00 -2.1797e+00 -1.2305e+00 -2.3085e+00 +9.5846e-01 +1.3035e+00 -1.4239e+00
165 +2.142189432e+06 +2.142189432e+06 +2.142097342e+06 +2.142097342e+06 -1.4933e+00 +2.4491e+00 -1.0315e+00 -2.8109e+00 -3.7288e+00 +1.0544e+00 -1.2205e+00 +2.6211e+00 +6.1821e-02 -3.6863e+00 +5.4928e-01 +9.1385e-01 +1.4208e+00 -2.4336e+00 -2.0407e+00 +1.2187e+00 -1.4762e+00 +4.5987e+00 +1.2657e+00 -1.1832e+00
258 +1.536790492e+06 +1.536790492e+06 +1.536698402e+06 +1.536698402e+06 +3.2988e-01 -5.0000e+00 +5.1369e-01 -5.0000e+00 -3.1500e+00 -2.3858e+00 -1.4490e+00 -1.1547e+00 +3.3722e+00 -8.8643e-01 +3.8266e+00 +4.8388e-02 -1.1715e+00 -4.1639e+00 +5.0000e+00 +1.9988e+00 -1.7494e+00 +5.0000e+00 +1.9745e+00 -1.0901e+00
611 +6.954928836e+05 +6.954928836e+05 +6.954007936e+05 +6.954007936e+05 -9.9011e-01 -6.5113e-01 +0.0000e+00 -7.9826e-01 -3.6623e+00 -1.5698e+00 +4.7812e+00 -1.9386e-01 -9.7762e-01 -2.6928e+00 +8.8720e-01 -3.2647e+00 -2.2716e+00 +1.4440e-01 +4.1037e+00 +2.2473e+00 -2.9645e+00 +2.5498e+00 +1.7631e+00 -1.7316e+00
862 +4.946219719e+05 +4.946219719e+05 +4.945298819e+05 +4.945298819e+05 -2.1634e+00 -5.5469e-01 +6.2921e-01 +1.4708e+00 -5.0000e+00 -2.5797e+00 +5.0000e+00 +3.9731e-01 -4.8879e+00 -3.3106e+00 +3.1349e+00 -5.0000e+00 -3.5252e+00 -2.3279e+00 +4.5371e+00 +1.1718e+00 -5.0000e+00 +2.9445e+00 +1.8244e+00 -1.2084e+00
